cpv_label,AMNT,CCOUNT,AAVG
"73110000-6 - ΥΠΗΡΕΣΙΕΣ ΕΡΕΥΝΑΣ",26885731.841340177,62794,428.1576558483323
"45214400-4 - ΚΑΤΑΣΚΕΥΑΣΤΙΚΕΣ ΕΡΓΑΣΙΕΣ ΓΙΑ ΚΤΙΡΙΑ ΠΑΝΕΠΙΣΤΗΜΙΟΥ",3332755.21484375,22,151488.87340198865
"63515000-2 - ΤΑΞΙΔΙΩΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ",1384992.489303708,3783,366.1095662975702
"33790000-4 - ΕΡΓΑΣΤΗΡΙΑΚΑ ΕΙΔΗ, ΕΙΔΗ ΥΓΙΕΙΝΗΣ Η ΦΑΡΜΑΚΕΥΤΙΚΑ ΕΙΔΗ ΑΠΟ ΓΥΑΛΙ",959478.5586265419,1952,491.53614683736777
"QA12-1 - ΓΙΑ ΣΥΝΕΔΡΙΑ",144457.1599855423,105,1375.7824760527837
"98300000-6 - ΔΙΑΦΟΡΕΣ ΥΠΗΡΕΣΙΕΣ",133131.6702829376,165,806.8586077753793
"38000000-5 - ΕΞΟΠΛΙΣΜΟΣ ΕΡΓΑΣΤΗΡΙΑΚΟΣ, ΟΠΤΙΚΟΣ ΚΑΙ ΑΚΡΙΒΕΙΑΣ (ΕΚΤΟΣ ΑΠΟ ΓΥΑΛΙΑ)",113714.5099067688,20,5685.72549533844
"30200000-1 - ΕΞΟΠΛΙΣΜΟΣ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΠΡΟΜΗΘΕΙΕΣ",106842.75984859467,186,574.4234400462079
"75110000-0 - ΔΗΜΟΣΙΕΣ ΥΠΗΡΕΣΙΕΣ ΓΕΝΙΚΗΣ ΦΥΣΕΩΣ",89833.88977241516,70,1283.3412824630736
"90600000-3 - ΥΠΗΡΕΣΙΕΣ ΚΑΘΑΡΙΟΤΗΤΑΣ ΚΑΙ ΕΞΥΓΙΑΝΣΗΣ ΣΕ ΑΣΤΙΚΕΣ Η ΑΓΡΟΤΙΚΕΣ ΖΩΝΕΣ, ΚΑΘΩΣ ΚΑΙ ΣΥΝΑΦΕΙΣ ΥΠΗΡΕΣΙΕΣ",83226.68856620789,228,365.02933581670123
"44423000-1 - ΔΙΑΦΟΡΑ ΕΙΔΗ",77976.78009700775,465,167.69200020861882
"33110000-4 - ΕΞΟΠΛΙΣΜΟΣ ΑΠΕΙΚΟΝΙΣΗΣ ΙΑΤΡΙΚΗΣ, ΟΔΟΝΤΙΑΤΡΙΚΗΣ ΚΑΙ ΚΤΗΝΙΑΤΡΙΚΗΣ ΧΡΗΣΗΣ",69987,1,69987
"55100000-1 - ΥΠΗΡΕΣΙΕΣ ΞΕΝΟΔΟΧΕΙΩΝ",68293.5299706459,310,220.30170958272873
"55320000-9 - ΥΠΗΡΕΣΙΕΣ ΠΑΡΟΧΗΣ ΓΕΥΜΑΤΩΝ",57303.3601102829,248,231.06193592856008
"30192700-8 - ΓΡΑΦΙΚΗ ΥΛΗ",49879.17005252838,344,144.9975873620011
"79980000-7 - ΥΠΗΡΕΣΙΕΣ ΣΥΝΔΡΟΜΩΝ",46528.420687913895,71,655.3298688438576
"PA03-3 - ΕΝΟΙΚΙΑΣΗ-ΑΓΟΡΑ",45634.020458221436,78,585.0515443361722
"30237200-1 - ΕΞΑΡΤΗΜΑΤΑ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ",44857.800021886826,188,238.60531926535546
"31710000-6 - ΗΛΕΚΤΡΟΝΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ",44725.15959787369,32,1397.6612374335527
"64121100-1 - ΥΠΗΡΕΣΙΕΣ ΠΑΡΑΔΟΣΗΣ ΑΛΛΗΛΟΓΡΑΦΙΑΣ",44268.82018041611,544,81.37650768458843
"45259000-7 - ΕΠΙΣΚΕΥΗ ΚΑΙ ΣΥΝΤΗΡΗΣΗ ΕΓΚΑΤΑΣΤΑΣΕΩΝ",41322.01132965088,3,13774.003776550293
"30125110-5 - ΤΟΝΕΡ ΓΙΑ ΕΚΤΥΠΩΤΕΣ ΛΕΙΖΕΡ/ΣΥΣΚΕΥΕΣ ΤΗΛΕΟΜΟΙΟΤΥΠΙΑΣ",40112.0700674057,212,189.207877676442
"39150000-8 - ΔΙΑΦΟΡΑ ΕΠΙΠΛΑ ΚΑΙ ΕΞΟΠΛΙΣΜΟΣ",34082.73996734619,37,921.1551342525997
"55300000-3 - ΥΠΗΡΕΣΙΕΣ ΕΣΤΙΑΤΟΡΙΟΥ ΚΑΙ ΠΑΡΟΧΗΣ ΦΑΓΗΤΟΥ",32235.709851264954,142,227.01204120609123
"FG06-7 - ΓΙΑ ΕΚΤΥΠΩΣΗ",31953.429978847504,137,233.23671517406936
"30192110-5 - ΜΕΛΑΝΙΑ",30428.780101776123,147,206.99850409371513
"33197000-7 - ΕΞΟΠΛΙΣΜΟΣ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ ΙΑΤΡΙΚΗΣ ΧΡΗΣΗΣ",30075.97001838684,70,429.65671454838343
"30230000-0 - ΕΞΟΠΛΙΣΜΟΣ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ",29932.129561424255,20,1496.6064780712127
"TA01-2 - ΓΙΑ ΒΙΒΛΙΑ",28271.06012058258,59,479.1705105183488
"70130000-1 - ΥΠΗΡΕΣΙΕΣ ΕΝΟΙΚΙΑΣΗΣ ΙΔΙΟΚΤΗΤΩΝ ΑΚΙΝΗΤΩΝ",27489.00032043457,23,1195.1739269754162
"39222100-5 - ΑΝΑΛΩΣΙΜΑ ΥΛΙΚΑ ΤΡΟΦΟΔΟΣΙΑΣ",25244.620536327362,42,601.0623937220801
"22120000-7 - ΔΗΜΟΣΙΕΥΣΕΙΣ",19840.99999141693,129,153.8062014838522
"38810000-6 - ΕΞΟΠΛΙΣΜΟΣ ΕΛΕΓΧΟΥ ΒΙΟΜΗΧΑΝΙΚΩΝ ΔΙΕΡΓΑΣΙΩΝ",16684.94921875,1,16684.94921875
"64212800-3 - ΥΠΗΡΕΣΙΕΣ ΠΑΡΟΧΟΥ ΚΟΙΝΟΧΡΗΣΤΗΣ ΤΗΛΕΦΩΝΙΑΣ",16550.13000679016,64,258.59578135609627
"64110000-0 - ΤΑΧΥΔΡΟΜΙΚΕΣ ΥΠΗΡΕΣΙΕΣ",15412.870049476624,267,57.726105054219566
"80500000-9 - ΥΠΗΡΕΣΙΕΣ ΚΑΤΑΡΤΙΣΗΣ",15302,23,665.304347826087
"51600000-8 - ΥΠΗΡΕΣΙΕΣ ΕΓΚΑΤΑΣΤΑΣΗΣ Η/Υ ΚΑΙ ΕΞΟΠΛΙΣΜΟΥ ΓΡΑΦΕΙΟΥ",14022,2,7011
"IA25-1 - ΣΥΝΤΗΡΗΣΗ",13642.529983520508,22,620.1149992509322
"32323300-6 - ΕΞΟΠΛΙΣΜΟΣ ΒΙΝΤΕΟ",13291.539978027344,4,3322.884994506836
"30121100-4 - ΦΩΤΟΑΝΤΙΓΡΑΦΙΚΑ",12940.300019264221,60,215.671666987737
