cpv_label,AMNT,CCOUNT,AAVG
"98000000-3 - ΛΟΙΠΕΣ ΚΟΙΝΟΤΙΚΕΣ, ΚΟΙΝΩΝΙΚΕΣ ΚΑΙ ΑΤΟΜΙΚΕΣ ΥΠΗΡΕΣΙΕΣ",25259043.174590826,60475,417.67743984441216
"45453000-7 - ΕΡΓΑΣΙΕΣ ΓΕΝΙΚΗΣ ΕΠΙΣΚΕΥΗΣ ΚΑΙ ΑΝΑΚΑΙΝΙΣΗΣ",2656418.74609375,4,664104.6865234375
"79631000-6 - ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ ΠΡΟΣΩΠΙΚΟΥ ΚΑΙ ΜΙΣΘΟΔΟΣΙΑΣ",2248159.1964263916,585,3843.007173378447
"55300000-3 - ΥΠΗΡΕΣΙΕΣ ΕΣΤΙΑΤΟΡΙΟΥ ΚΑΙ ΠΑΡΟΧΗΣ ΦΑΓΗΤΟΥ",1724347.9921875,10,172434.79921875
"39300000-5 - ΠΟΙΚΙΛΟΣ ΕΞΟΠΛΙΣΜΟΣ",1368713.0350208282,93,14717.344462589552
"63000000-9 - ΒΟΗΘΗΤΙΚΕΣ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΥΠΗΡΕΣΙΕΣ ΜΕΤΑΦΟΡΩΝ? ΥΠΗΡΕΣΙΕΣ ΤΑΞΙΔΙΩΤΙΚΩΝ ΠΡΑΚΤΟΡΕΙΩΝ",1192648.163093567,3276,364.05621584052716
"24000000-4 - ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ",915700.4049453735,751,1219.3081290883802
"38000000-5 - ΕΞΟΠΛΙΣΜΟΣ ΕΡΓΑΣΤΗΡΙΑΚΟΣ, ΟΠΤΙΚΟΣ ΚΑΙ ΑΚΡΙΒΕΙΑΣ (ΕΚΤΟΣ ΑΠΟ ΓΥΑΛΙΑ)",843353.1623039246,69,12222.509598607603
"90911200-8 - ΥΠΗΡΕΣΙΕΣ ΚΑΘΑΡΙΣΜΟΥ ΚΤΙΡΙΩΝ",631517.65234375,19,33237.77117598684
"09135100-5 - ΠΕΤΡΕΛΑΙΟ ΘΕΡΜΑΝΣΗΣ",484065.59765625,12,40338.7998046875
"30200000-1 - ΕΞΟΠΛΙΣΜΟΣ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΠΡΟΜΗΘΕΙΕΣ",466443.66932582855,1109,420.5984394281592
"30125110-5 - ΤΟΝΕΡ ΓΙΑ ΕΚΤΥΠΩΤΕΣ ΛΕΙΖΕΡ/ΣΥΣΚΕΥΕΣ ΤΗΛΕΟΜΟΙΟΤΥΠΙΑΣ",460692.52942562103,1196,385.1944225966731
"24327000-2 - ΔΙΑΦΟΡΑ ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ",453773.27027893066,965,470.23136816469497
"55000000-0 - ΥΠΗΡΕΣΙΕΣ ΞΕΝΟΔΟΧΕΙΩΝ, ΕΣΤΙΑΤΟΡΙΩΝ ΚΑΙ ΛΙΑΝΙΚΟΥ ΕΜΠΟΡΙΟΥ",330135.83994197845,594,555.784242326563
"30000000-9 - ΜΗΧΑΝΗΜΑΤΑ ΓΡΑΦΕΙΟΥ ΚΑΙ ΥΠΟΛΟΓΙΣΤΕΣ, ΕΞΟΠΛΙΣΜΟΣ ΚΑΙ ΠΡΟΜΗΘΕΙΕΣ ΕΚΤΟΣ ΑΠΟ ΕΠΙΠΛΑ ΚΑΙ ΠΑΚΕΤΑ ΛΟΓΙΣΜΙΚΩΝ",313951.83886779845,90,3488.3537651977604
"31000000-6 - ΗΛΕΚΤΡΙΚΕΣ ΜΗΧΑΝΕΣ, ΣΥΣΚΕΥΕΣ, ΕΞΟΠΛΙΣΜΟΣ ΚΑΙ ΑΝΑΛΩΣΙΜΑ? ΦΩΤΙΣΜΟΣ",277535.71042633057,375,740.0952278035481
"22000000-0 - ΕΝΤΥΠΟ ΥΛΙΚΟ ΚΑΙ ΣΥΝΑΦΗ ΠΡΟΙΟΝΤΑ",258668.85973596573,465,556.2771177117543
"79713000-5 - ΥΠΗΡΕΣΙΕΣ ΦΥΛΑΞΗΣ",256420.55659484863,34,7541.781076319077
"30213300-8 - ΕΠΙΤΡΑΠΕΖΙΟΙ ΗΛΕΚΤΡΟΝΙΚΟΙ ΥΠΟΛΟΓΙΣΤΕΣ",224038.79943466187,436,513.8504574189492
"30213000-5 - ΠΡΟΣΩΠΙΚΟΙ ΗΛΕΚΤΡΟΝΙΚΟΙ ΥΠΟΛΟΓΙΣΤΕΣ",161226.36973571777,384,419.8603378534317
"45259000-7 - ΕΠΙΣΚΕΥΗ ΚΑΙ ΣΥΝΤΗΡΗΣΗ ΕΓΚΑΤΑΣΤΑΣΕΩΝ",150367.5,5,30073.5
"48000000-8 - ΠΑΚΕΤΑ ΛΟΓΙΣΜΙΚΟΥ ΚΑΙ ΣΥΣΤΗΜΑΤΑ ΠΛΗΡΟΦΟΡΙΚΗΣ",134106.50326919556,111,1208.166696118879
"30234500-3 - ΜΕΣΑ ΑΠΟΘΗΚΕΥΣΗΣ ΜΝΗΜΗΣ",129042.09990882874,328,393.4210363074047
"50000000-5 - ΥΠΗΡΕΣΙΕΣ ΕΠΙΣΚΕΥΗΣ ΚΑΙ ΣΥΝΤΗΡΗΣΗΣ",125962.25966262817,65,1937.8809178865872
"64210000-1 - ΥΠΗΡΕΣΙΕΣ ΤΗΛΕΦΩΝΙΑΣ ΚΑΙ ΜΕΤΑΔΟΣΗΣ ΔΕΔΟΜΕΝΩΝ",123439.5,3,41146.5
"30192000-1 - ΠΡΟΜΗΘΕΙΕΣ ΕΙΔΩΝ ΓΡΑΦΕΙΟΥ",116862.62991333008,272,429.64202174018413
"30232110-8 - ΕΚΤΥΠΩΤΕΣ ΛΕΙΖΕΡ",110695.5298128128,283,391.15028202407353
"22200000-2 - ΕΦΗΜΕΡΙΔΕΣ, ΠΕΡΙΟΔΙΚΕΣ ΕΚΔΟΣΕΙΣ ΚΑΙ ΠΕΡΙΟΔΙΚΑ",100000,1,100000
"79710000-4 - ΥΠΗΡΕΣΙΕΣ ΑΣΦΑΛΕΙΑΣ",99049.22888183594,77,1286.3536218420252
"66510000-8 - ΥΠΗΡΕΣΙΕΣ ΑΣΦΑΛΙΣΗΣ",85637.81967163086,22,3892.6281668923116
"30231000-7 - ΟΘΟΝΕΣ ΚΑΙ ΚΟΝΣΟΛΕΣ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ",70526.90978813171,201,350.88014819966025
"50750000-7 - ΥΠΗΡΕΣΙΕΣ ΣΥΝΤΗΡΗΣΗΣ ΑΝΕΛΚΥΣΤΗΡΩΝ",65445.03089904785,9,7271.670099894206
"65100000-4 - ΔΙΑΝΟΜΗ ΥΔΑΤΟΣ ΚΑΙ ΣΥΝΑΦΕΙΣ ΥΠΗΡΕΣΙΕΣ",61936.919921875,3,20645.639973958332
"33690000-3 - ΔΙΑΦΟΡΑ ΦΑΡΜΑΚΑ",56820.8606262207,37,1535.6989358438027
"37800000-6 - ΕΙΔΗ ΧΕΙΡΟΤΕΧΝΙΑΣ ΚΑΙ ΚΑΛΛΙΤΕΧΝΙΑΣ",55193.12999725342,129,427.8537209089412
"55110000-4 - ΥΠΗΡΕΣΙΕΣ ΞΕΝΟΔΟΧΕΙΑΚΩΝ ΚΑΤΑΛΥΜΑΤΩΝ",51258.39990234375,10,5125.839990234375
"38652100-1 - ΜΗΧΑΝΕΣ ΠΡΟΒΟΛΗΣ",50455.20981025696,104,485.14624817554767
"64000000-6 - ΥΠΗΡΕΣΙΕΣ ΤΑΧΥΔΡΟΜΕΙΩΝ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ",38162.76993370056,1540,24.781019437467897
"60100000-9 - ΥΠΗΡΕΣΙΕΣ ΟΔΙΚΩΝ ΜΕΤΑΦΟΡΩΝ",38077.459941864014,196,194.27275480542863
"31154000-0 - ΑΔΙΑΛΕΙΠΤΑ ΤΡΟΦΟΔΟΤΙΚΑ ΡΕΥΜΑΤΟΣ",37568.17993927002,76,494.31815709565814
